date;heure;dept;com;adresse;carr;segm;lieu_1_nomv;lieu_2_nomv;vehicule_1_cadmin;vehicule_1_lveh;vehicle_2_cadmin;vehicule_2_lveh;vehicule_3_cadmin;vehicule_3_lveh;usager_1_catu;usager_1_grav;usager_1_lveh;usager_2_catu;usager_2_grav;usager_2_lveh;usager_3_catu;usager_3_grav;usager_3_lveh;usager_4_catu;usager_4_grav;usager_4_lveh
2013-09-21;16:15;75;120;4789, RUE SORBIER;;;RUE SORBIER;;VU;A;;;;;Cond;BL;A;Piéto;BL;A;;;;;;
2012-04-26;13:40;75;120;279, RUE DES PYRENEES;;;RUE DES PYRENEES;;Moto>125;A;VL;B;;;Cond;Indem;A;Cond;BL;B;;;;;;
2012-07-10;18:00;75;120;250, RUE DES PYRENEES;;;RUE DES PYRENEES;;Moto>125;A;VL;B;;;Cond;BL;A;Cond;Indem;B;;;;;;
2012-04-24;11:05;75;120;271, RUE DES PYRENEES;;;RUE DES PYRENEES;;VL;A;Cyclo;B;;;Cond;BL;B;Cond;Indem;A;;;;;;
2012-11-05;10:35;75;120;9, RUE DES GATINES;;;RUE DES GATINES;;VL;A;;;;;Cond;Indem;A;Piéto;BL;A;Piéto;BL;A;;;
2013-09-12;18:50;75;120;4, RUE BELGRAND;;;RUE BELGRAND;;Moto>125;A;;;;;Cond;Indem;A;Piéto;BL;A;;;;;;
2013-02-08;17:55;75;120;229, RUE DES PYRENEES;;;RUE DES PYRENEES;;Scoo50-125;A;;;;;Cond;BL;A;Piéto;BL;A;;;;;;
2013-10-13;17:50;75;120;17, AVENUE GAMBETTA;;;AVENUE GAMBETTA;;VL;A;Scoo>125;B;;;Cond;BL;B;Cond;Indem;A;;;;;;
2012-09-27;16:35;75;120;148, RUE DE BELLEVILLE;;;RUE DE BELLEVILLE;;Scoo<=50;A;VU;B;;;Cond;BL;A;Cond;Indem;B;;;;;;
2012-09-14;08:20;75;120;401, RUE DES PYRENEES;;;RUE DES PYRENEES;;Bicy;A;;;;;Cond;BL;A;Pass;BL;A;;;;;;
2012-12-24;15:00;75;120;389, RUE DES PYRENEES;;;RUE DES PYRENEES;;VL;A;Scoo<=50;B;;;Cond;Indem;A;Cond;BL;B;;;;;;
2012-03-16;20:10;75;120;52, RUE DES ENVIERGES;;;RUE DES ENVIERGES;;VL;A;Moto>125;B;;;Cond;Indem;A;Cond;BL;B;;;;;;
2012-07-15;07:05;75;120;186, RUE PELLEPORT;;;RUE PELLEPORT;;Scoo<=50;A;;;;;Cond;BL;A;;;;;;;;;
2012-08-11;09:00;75;120;140, RUE PELLEPORT;;;RUE PELLEPORT;;VL;A;Moto50-125;B;;;Cond;Indem;A;Cond;BL;B;;;;;;
