date;heure;dept;com;adresse;carr;segm;lieu_1_nomv;lieu_2_nomv;vehicule_1_cadmin;vehicule_1_lveh;vehicle_2_cadmin;vehicule_2_lveh;vehicule_3_cadmin;vehicule_3_lveh;usager_1_catu;usager_1_grav;usager_1_lveh;usager_2_catu;usager_2_grav;usager_2_lveh;usager_3_catu;usager_3_grav;usager_3_lveh;usager_4_catu;usager_4_grav;usager_4_lveh
2013-04-15;13:25;75;103;91, RUE BEAUBOURG;1_75103_7632;;RUE BEAUBOURG;RUE DES GRAVILLIERS;Bicy;A;VL;B;;;Cond;BL;A;Cond;Indem;B;;;;;;
2012-06-22;18:15;75;103;67, RUE DU TEMPLE;1_75103_7634;;RUE DU TEMPLE;RUE RAMBUTEAU;Bicy;A;;;;;Cond;BL;A;Piéto;BL;A;;;;;;
2012-12-11;18:10;75;103;332, RUE SAINT MARTIN;1_75103_7687;;RUE SAINT MARTIN;BOULEVARD SAINT MARTIN;Bicy;A;Bus;B;;;Cond;BL;A;Cond;Indem;B;;;;;;
2013-12-17;12:05;75;103;57, RUE DE TURBIGO;1_75103_7699;;RUE DE TURBIGO;RUE VAUCANSON;Scoo50-125;A;;;;;Cond;Indem;A;Piéto;BL;A;;;;;;
2012-11-07;19:50;75;103;13, RUE VOLTA;1_75103_7846;;RUE VOLTA;RUE REAUMUR;Scoo50-125;A;VL;B;;;Cond;Indem;A;Pass;BL;A;Cond;Indem;B;;;
2012-06-09;11:55;75;103;21, RUE REAUMUR;1_75103_7846;;RUE REAUMUR;RUE VOLTA;Moto>125;A;;;;;Cond;BL;A;;;;;;;;;
2013-02-10;09:30;75;103;63, RUE DE TURBIGO;1_75103_7869;;RUE DE TURBIGO;RUE VOLTA;VU;A;Bicy;B;VL;C;Cond;Indem;A;Cond;BL;B;Cond;Indem;C;;;
2013-03-06;14:55;75;103;04, RUE CHAPON;1_75103_7893;;RUE CHAPON;RUE DU TEMPLE;VU;A;;;;;Cond;Indem;A;Piéto;BL;A;;;;;;
2013-06-29;13:00;75;103;62, RUE DES ARCHIVES;1_75103_7931;;RUE DES ARCHIVES;RUE DES QUATRE FILS;Moto>125;A;VL;B;;;Cond;BL;A;Cond;Indem;B;;;;;;
2012-11-19;11:15;75;103;70, RUE DE TURBIGO;1_75103_8083;;RUE DE TURBIGO;RUE SAINTE ELISABETH;Scoo50-125;A;Scoo50-125;B;;;Cond;BL;A;Cond;Indem;B;;;;;;
2013-09-30;02:58;75;103;72, RUE DE TURBIGO;1_75103_8135;;RUE DE TURBIGO;RUE DU VERTBOIS;VL;A;VL;B;;;Cond;Indem;A;Cond;BL;B;;;;;;
2012-05-23;14:15;75;103;86, RUE VIEILLE DU TEMPL;1_75103_8161;;RUE VIEILLE DU TEMPLE;RUE DE LA PERLE;Moto50-125;A;;;;;Cond;BL;A;Troll;BL;A;;;;;;
2012-05-25;18:50;75;103;160, RUE DU TEMPLE;1_75103_8167;;RUE DU TEMPLE;RUE DUPETIT THOUARS;VL;A;Moto>125;B;;;Cond;Indem;A;Cond;BL;B;;;;;;
2012-04-11;18:05;75;103;55, RUE DE BRETAGNE;1_75103_8183;;RUE DE BRETAGNE;RUE DES ARCHIVES;VL;A;;;;;Cond;Indem;A;Piéto;BL;A;;;;;;
2012-09-20;05:15;75;103;RUE DES FRANCS BOURGEOIS;1_75103_8247;;RUE DES FRANCS BOURGEOIS;RUE PAYENNE;VU;A;VL;B;;;Cond;BL;A;Cond;Indem;B;;;;;;
2012-03-18;22:35;75;103;89, RUE DE TURBIGO;1_75103_8251;;RUE DE TURBIGO;RUE DU TEMPLE;VL;A;Cyclo;B;;;Cond;Indem;A;Cond;BL;B;;;;;;
2012-07-06;14:15;75;103;201, RUE DU TEMPLE;1_75103_8287;;RUE DU TEMPLE;RUE NOTRE DAME DE NAZARETH;Moto>125;A;VL;B;;;Cond;Indem;A;Cond;Indem;B;Pass;BL;B;;;
2012-10-25;12:50;75;103;PLACE DE LA REPUBLIQUE;1_75103_8290;;PLACE DE LA REPUBLIQUE;BOULEVARD SAINT MARTIN;Cyclo;A;VL;B;;;Cond;BL;A;Cond;Indem;B;;;;;;
2012-12-28;15:00;75;103;21, PLACE DE LA REPUBLIQ;1_75103_8290;;PLACE DE LA REPUBLIQUE;BOULEVARD SAINT MARTIN;VL;A;Bicy;B;;;Cond;Indem;A;Cond;BL;B;;;;;;
2013-08-16;16:50;75;103;23, PLACE DE LA REPUBLIQ;1_75103_8290;;PLACE DE LA REPUBLIQUE;BOULEVARD SAINT MARTIN;Cyclo;A;;;;;Cond;BL;A;;;;;;;;;
2013-04-29;18:35;75;103;19, RUE DE BRETAGNE;1_75103_8389;;RUE DE BRETAGNE;RUE DE SAINTONGE;Bicy;A;VU;B;;;Cond;BL;A;Cond;Indem;B;;;;;;
2012-03-04;12:55;75;103;13, PLACE DE LA REPUBLIQ;1_75103_8400;;PLACE DE LA REPUBLIQUE;RUE DU TEMPLE;Moto>125;A;VU;B;;;Cond;BL;A;Cond;Indem;B;;;;;;
2012-04-21;20:30;75;103;RUE DU TEMPLE;1_75103_8400;;PLACE DE LA REPUBLIQUE;RUE DU TEMPLE;Moto>125;A;;;;;Cond;BL;A;Pass;BL;A;;;;;;
2013-09-10;08:40;75;103;15, PLACE DE LA REPUBLIQ;1_75103_8400;;PLACE DE LA REPUBLIQUE;RUE DU TEMPLE;Bicy;A;VL;B;;;Cond;BL;A;Cond;Indem;B;;;;;;
2012-03-23;17:45;75;103;70, RUE DE TURENNE;1_75103_8500;;RUE DE TURENNE;RUE SAINT CLAUDE;Cyclo;A;Bicy;B;;;Cond;Indem;A;Cond;BL;B;;;;;;
2012-07-07;16:25;75;103;95, RUE DE TURENNE;1_75103_8502;;RUE DE TURENNE;RUE DE POITOU;Scoo50-125;A;VL;B;;;Cond;BL;A;Cond;Indem;B;;;;;;
2012-05-06;13:30;75;103;03, RUE BERANGER;1_75103_8509;;RUE BERANGER;RUE CHARLOT;Bicy;A;;;;;Cond;Indem;A;Piéto;BL;A;;;;;;
2013-12-16;09:45;75;103;03, PLACE DE LA REPUBLIQ;1_75103_8512;;PLACE DE LA REPUBLIQUE;BOULEVARD DU TEMPLE;Scoo<=50;A;Bicy;B;;;Cond;Indem;A;Cond;BL;B;;;;;;
2012-07-12;10:50;75;103;23, BOULEVARD DU TEMPLE;1_75103_8600;;BOULEVARD DU TEMPLE;RUE DE SAINTONGE;Moto>125;A;;;;;Cond;Indem;A;Piéto;BL;A;;;;;;
2012-01-24;13:54;75;103;17, RUE COMMINES;1_75103_8671;;RUE COMMINES;BOULEVARD DES FILLES DU CALVAIRE;VL;A;Scoo50-125;B;;;Cond;BL;B;Cond;Indem;A;;;;;;
2013-05-03;11:50;75;103;67, BOULEVARD BEAUMARCHA;1_75103_8757;;BOULEVARD BEAUMARCHAIS;RUE SAINT GILLES;Cyclo;A;;;;;Cond;BL;A;Piéto;BL;A;;;;;;
2013-03-27;00:40;75;103;RUE DES ARCHIVES;;;RUE DES ARCHIVES;;Bicy;A;Cyclo;B;;;Cond;BL;A;Cond;Tué;B;;;;;;
2012-05-07;09:30;75;103;115, RUE VIEILLE DU TEMP;;;RUE VIEILLE DU TEMPLE;;VL;A;Bicy;B;;;Cond;Indem;A;Cond;BL;B;;;;;;
2013-07-10;17:10;75;103;04, RUE DE BRAQUE;;;RUE DE BRAQUE;;VU;A;;;;;Cond;Indem;A;Piéto;BH;A;;;;;;
2012-11-28;15:55;75;103;83, RUE DU TEMPLE;;;RUE DU TEMPLE;;VL;Z;;;;;Piéto;BL;Z;;;;;;;;;
2013-01-11;04:50;75;103;03, BOULEVARD SAINT MART;;;BOULEVARD SAINT MARTIN;;Cyclo;A;;;;;Cond;BL;A;;;;;;;;;
2013-11-14;15:10;75;103;03, BOULEVARD SAINT MART;;;BOULEVARD SAINT MARTIN;;Cyclo;A;;;;;Cond;BL;A;;;;;;;;;
2012-06-14;18:10;75;103;162, RUE DU TEMPLE;;;RUE DU TEMPLE;;Bus;A;;;;;Cond;Indem;A;Piéto;BL;A;;;;;;
2012-11-18;16:20;75;103;180, RUE DU TEMPLE;;;RUE DU TEMPLE;;Scoo<=50;A;;;;;Cond;BL;A;;;;;;;;;
2012-09-30;09:35;75;103;25, RUE NOTRE DAME DE NA;;;RUE NOTRE DAME DE NAZARETH;;VL;A;;;;;Cond;Indem;A;Piéto;BL;A;;;;;;
2012-08-21;12:15;75;103;37, RUE REAUMUR;;;RUE REAUMUR;;Moto>125;A;Moto>125;B;;;Cond;BL;B;Cond;Indem;A;;;;;;
2012-05-11;09:10;75;103;9, PLACE DE LA REPUBLIQU;;;PLACE DE LA REPUBLIQUE;;VL;A;VL;B;VL;C;Cond;Indem;C;Cond;Indem;A;Cond;BL;B;;;
2013-01-26;18:55;75;103;33, BOULEVARD BEAUMARCHA;;;BOULEVARD BEAUMARCHAIS;;Moto>125;A;;;;;Cond;BH;A;Pass;BL;A;;;;;;
2013-09-27;17:35;75;103;34, RUE DE TURENNE;;;RUE DE TURENNE;;VL;A;Cyclo;B;;;Cond;Indem;A;Cond;BL;B;;;;;;
2012-10-22;15:55;75;103;17, BOULEVARD DU TEMPLE;;;BOULEVARD DU TEMPLE;;Bicy;A;Bicy;B;;;Cond;Indem;A;Cond;BL;B;;;;;;
2012-03-03;14:35;75;103;128, RUE DE TURENNE;;;RUE DE TURENNE;;VL;A;;;;;Cond;Indem;A;Piéto;BL;A;;;;;;
2012-04-20;00:35;75;104;QUAI DE LA CORSE;1_75104_6624;;QUAI DE LA CORSE;BOULEVARD DU PALAIS;Scoo>125;A;VL;B;;;Cond;BL;A;Cond;Indem;B;;;;;;
2012-09-19;14:55;75;104;10, RUE DE LA CITE;1_75104_6707;;RUE DE LA CITE;QUAI DU MARCHE NEUF;Scoo<=50;A;VL;B;;;Cond;BL;A;Cond;Indem;B;;;;;;
2012-06-10;14:50;75;104;2, PLACE DU CHATELET;1_75104_6744;;PLACE DU CHATELET;QUAI DE GESVRES;Scoo<=50;A;;;;;Cond;BL;A;;;;;;;;;
2013-05-31;00:15;75;104;16, QUAI DE GESVRES;1_75104_6744;;QUAI DE GESVRES;PLACE DU CHATELET;Scoo50-125;A;;;;;Cond;BL;A;;;;;;;;;
2013-10-13;09:15;75;104;7, BOULEVARD DE SEBASTOP;1_75104_6850;;BOULEVARD DE SEBASTOPOL;RUE DE RIVOLI;VL;A;Cyclo;B;;;Cond;Indem;A;Cond;BL;B;;;;;;
2013-03-31;06:40;75;104;RUE DE LA CITE;1_75104_6871;;RUE DE LA CITE;QUAI DE LA CORSE;VL;A;VL;B;;;Cond;Indem;A;Pass;BL;A;Cond;Indem;B;;;
2013-01-02;03:20;75;104;4, BOULEVARD DE SEBASTOP;1_75104_6873;;BOULEVARD DE SEBASTOPOL;RUE PERNELLE;Scoo50-125;A;;;;;Cond;BL;A;;;;;;;;;
2013-07-22;18:05;75;104;04, BOULEVARD DE SEBASTO;1_75104_6873;;BOULEVARD DE SEBASTOPOL;RUE PERNELLE;Scoo50-125;A;;;;;Cond;BL;A;;;;;;;;;
2012-01-15;02:40;75;104;14, BOULEVARD DE SEBASTO;1_75104_6917;;BOULEVARD DE SEBASTOPOL;RUE DES LOMBARDS;Moto>125;A;;;;;Cond;Indem;A;Piéto;BL;A;;;;;;
2012-10-23;08:30;75;104;16 BIS, BOULEVARD DE SEB;1_75104_6944;;BOULEVARD DE SEBASTOPOL;RUE DE LA REYNIE;VU;A;Bicy;B;;;Cond;Indem;A;Cond;BL;B;;;;;;
2012-04-09;10:05;75;104;37, RUE DE RIVOLI;1_75104_7078;;RUE DE RIVOLI;RUE DE LA TACHERIE;Scoo<=50;A;Bicy;B;;;Cond;Indem;A;Cond;BL;B;;;;;;
2012-01-11;03:50;75;104;QUAI DE GESVRES;1_75104_7165;;QUAI DE L HOTEL DE VILLE;PONT D ARCOLE;Scoo50-125;A;;;;;Cond;BH;A;;;;;;;;;
2012-10-10;20:35;75;104;76, RUE DE RIVOLI;1_75104_7231;;RUE DE RIVOLI;RUE DE LA COUTELLERIE;VL;A;;;;;Cond;Indem;A;Piéto;BL;A;Piéto;BL;A;;;
2012-09-10;17:30;75;104;67, RUE DE LA VERRERIE;1_75104_7283;;RUE DE LA VERRERIE;RUE DU RENARD;Scoo>125;A;;;;;Cond;BL;A;;;;;;;;;
2012-03-02;13:15;75;104;19, RUE DU RENARD;1_75104_7311;;RUE DU RENARD;RUE DU CLOITRE SAINT MERRI;Moto50-125;A;;;;;Cond;BL;A;;;;;;;;;
2013-05-01;05:40;75;104;RUE DE LOBAU;1_75104_7400;;RUE DE LOBAU;QUAI DE L HOTEL DE VILLE;Scoo50-125;A;VL;Z;;;Cond;BL;A;;;;;;;;;
2012-06-18;11:02;75;104;3, RUE DE LOBAU;1_75104_7431;;RUE DE LOBAU;PLACE SAINT GERVAIS;VL;A;;;;;Piéto;BL;A;Cond;Indem;A;;;;;;
2012-05-01;00:35;75;104;20, RUE BEAUBOURG;1_75104_7463;;RUE BEAUBOURG;RUE RAMBUTEAU;Scoo50-125;A;;;;;Cond;Indem;A;Piéto;BH;A;;;;;;
2013-08-04;06:27;75;104;50, RUE DE RIVOLI;1_75104_7508;;RUE DE RIVOLI;RUE DES ARCHIVES;PL>7,5;A;Bicy;B;;;Cond;Indem;A;Cond;BH;B;;;;;;
2013-01-12;21:50;75;104;9, RUE DES ARCHIVES;1_75104_7549;;RUE DES ARCHIVES;RUE DE LA VERRERIE;Scoo<=50;A;VL;B;;;Cond;BL;A;Cond;Indem;B;;;;;;
2012-01-19;01:30;75;104;QUAI DE L HOTEL DE VILLE;1_75104_7619;;QUAI DE L HOTEL DE VILLE;PONT LOUIS PHILIPPE;Scoo50-125;A;;;;;Cond;BH;A;;;;;;;;;
2013-10-21;14:25;75;104;60, QUAI DE L HOTEL DE V;1_75104_7619;;QUAI DE L HOTEL DE VILLE;RUE DU PONT LOUIS PHILIPPE;Scoo50-125;A;;;;;Cond;BH;A;;;;;;;;;
2012-05-23;10:30;75;104;60, RUE DE L HOTEL DE VI;1_75104_7635;;RUE DE L HOTEL DE VILLE;RUE DU PONT LOUIS PHILIPPE;VL;A;Moto>125;B;;;Cond;Indem;A;Cond;BL;B;;;;;;
2013-12-12;15:05;75;104;PONT DE LA TOURNELLE;1_75104_7717;;PONT DE LA TOURNELLE;QUAI D ORLEANS;VL;A;;;;;Cond;Indem;A;Piéto;BH;A;;;;;;
2013-04-02;11:25;75;104;29, RUE DES ARCHIVES;1_75104_7743;;RUE DES ARCHIVES;RUE DES BLANCS MANTEAUX;Scoo50-125;A;;;;;Cond;BL;A;;;;;;;;;
2012-01-18;12:00;75;104;16, RUE DES DEUX PONTS;1_75104_7784;;RUE DES DEUX PONTS;RUE SAINT LOUIS EN L ILE;VU;A;Cyclo;B;;;Cond;Indem;A;Cond;BL;B;;;;;;
2012-02-06;10:45;75;104;56, RUE DES ARCHIVES;1_75104_7823;;RUE DES ARCHIVES;RUE DES FRANCS BOURGEOIS;VL;A;;;;;Cond;Indem;A;Piéto;BH;A;;;;;;
2012-09-20;18:30;75;104;20, RUE DES DEUX PONTS;1_75104_7841;;RUE DES DEUX PONTS;QUAI D ANJOU;Moto>125;A;;;;;Cond;BH;A;Piéto;BH;A;;;;;;
2013-11-21;19:50;75;104;21, RUE DE RIVOLI;1_75104_7847;;RUE DE RIVOLI;RUE CLOCHE PERCE;VL;A;Bicy;B;;;Cond;Indem;A;Cond;BL;B;;;;;;
2013-01-28;19:30;75;104;VOIE GEORGES POMPIDOU;1_75104_8004;;RUE DU FAUCONNIER;QUAI DES CELESTINS;Scoo50-125;A;;;;;Cond;BL;A;;;;;;;;;
2012-05-10;17:10;75;104;5, BOULEVARD HENRI IV;1_75104_8107;;BOULEVARD HENRI IV;QUAI D ANJOU;Bicy;A;VL;B;;;Cond;BL;A;Cond;Indem;B;;;;;;
2012-03-10;16:00;75;104;10, RUE DE RIVOLI;1_75104_8116;;RUE DE RIVOLI;RUE PAVEE;Scoo50-125;A;;;;;Cond;Indem;A;Piéto;BL;A;;;;;;
2012-03-21;14:00;75;104;4, RUE DE RIVOLI;1_75104_8190;;RUE DE RIVOLI;RUE MALHER;Moto>125;A;VL;B;;;Cond;BL;A;Cond;Indem;B;;;;;;
2012-01-07;11:20;75;105;26, RUE DES FOSSES SAINT;;;RUE DES FOSSES SAINT BERNARD;;VU;A;;;;;Cond;BL;A;Piéto;BL;A;;;;;;
2012-01-16;09:17;75;105;4, RUE DES FOSSES SAINT;;;RUE DES FOSSES SAINT BERNARD;;Cyclo;A;;;;;Cond;BL;A;Piéto;BL;A;;;;;;
2013-06-04;15:25;75;105;4, RUE DES FOSSES SAINT;;;RUE DES FOSSES SAINT BERNARD;;Scoo50-125;A;;;;;Cond;Indem;A;Piéto;BL;A;;;;;;
2012-02-21;09:00;75;105;QUAI SAINT BERNARD;;;QUAI SAINT BERNARD;;Scoo50-125;A;Scoo50-125;B;;;Cond;BL;B;Cond;Indem;A;;;;;;
2012-03-26;14:55;75;105;23, QUAI SAINT BERNARD;;;QUAI SAINT BERNARD;;VU;A;Bicy;B;;;Cond;Indem;A;Cond;BL;B;;;;;;
2012-11-05;09:27;75;105;23, QUAI SAINT BERNARD;;;QUAI SAINT BERNARD;;VU;A;Moto>125;B;;;Cond;Indem;A;Cond;BL;B;;;;;;
2012-05-20;15:25;75;105;23, QUAI SAINT BERNARD;;;QUAI SAINT BERNARD;;VL;A;VL;B;;;Cond;BL;B;Cond;Indem;A;;;;;;
2012-08-10;07:40;75;105;23, QUAI SAINT BERNARD;;;QUAI SAINT BERNARD;;Moto>125;A;VL;B;VU;C;Cond;Indem;B;Cond;BL;A;Cond;Indem;C;;;
2012-10-16;09:55;75;105;2, QUAI DE LA TOURNELLE;;;QUAI DE LA TOURNELLE;;VL;A;Scoo>125;B;;;Cond;BL;B;Cond;Indem;A;;;;;;
2013-04-25;18:30;75;105;4, RUE DU PETIT PONT;;;RUE DU PETIT PONT;;Bicy;A;;;;;Piéto;BL;A;Cond;Indem;A;;;;;;
2013-04-26;16:25;75;105;30, RUE SAINT JACQUES;;;RUE SAINT JACQUES;;Moto50-125;A;;;;;Cond;BL;A;;;;;;;;;
2012-10-26;19:05;75;105;32 BIS, RUE SAINT JACQUE;;;RUE SAINT JACQUES;;Moto>125;A;;;;;Cond;BL;A;Piéto;BL;A;;;;;;
2013-02-19;10:40;75;105;55, RUE SAINT JACQUES;;;RUE SAINT JACQUES;;VL;A;;;;;Cond;Indem;A;Piéto;BL;A;;;;;;
2012-10-16;08:13;75;105;13, PLACE DU PANTHEON;;;PLACE DU PANTHEON;;Cyclo;A;;;;;Cond;BL;A;;;;;;;;;
2012-09-27;09:20;75;105;1, RUE D ULM;;;RUE D ULM;;VL;A;Bicy;B;;;Cond;Indem;A;Cond;BL;B;;;;;;
2013-04-02;17:05;75;105;PONT DE SULLY;;;PONT DE SULLY;;VL;A;Scoo<=50;B;;;Cond;Indem;A;Cond;BL;B;Pass;BL;B;;;
2013-09-25;06:30;75;106;19, BOULEVARD DU MONTPAR;1_75106_3889;;BOULEVARD DU MONTPARNASSE;RUE DU CHERCHE MIDI;VL;A;Scoo50-125;B;;;Cond;Indem;A;Cond;BL;B;;;;;;
2012-06-10;19:35;75;106;29, BOULEVARD DU MONTPAR;1_75106_3973;;BOULEVARD DU MONTPARNASSE;RUE DE VAUGIRARD;Scoo50-125;A;;;;;Cond;BL;A;;;;;;;;;
2013-04-09;10:25;75;106;27, BOULEVARD DU MONTPAR;1_75106_3973;;BOULEVARD DU MONTPARNASSE;RUE DE VAUGIRARD;VL;A;;;;;Cond;Indem;A;Piéto;BL;A;;;;;;
2012-11-19;08:15;75;106;114, RUE DE VAUGIRARD;1_75106_4108;;RUE DE VAUGIRARD;ALLEE MAINTENON;VL;A;Moto>125;B;;;Cond;BL;B;Cond;Indem;A;;;;;;
2013-09-20;17:20;75;106;55, RUE DE SEVRES;1_75106_4305;;RUE DE SEVRES;RUE SAINT PLACIDE;Scoo>125;A;VL;B;;;Cond;BL;A;Cond;Indem;B;;;;;;
2013-04-16;15:45;75;102;11, BOULEVARD MONTMARTRE;;;BOULEVARD MONTMARTRE;;Cyclo;A;Cyclo;B;VL;C;Cond;Indem;C;Cond;BL;B;Cond;Indem;A;;;
2013-05-23;13:15;75;102;19, BOULEVARD DES ITALIE;;;BOULEVARD DES ITALIENS;;Moto>125;A;;;;;Cond;BL;A;Piéto;BL;A;;;;;;
2013-11-03;20:15;75;102;1, BOULEVARD DE BONNE NO;;;BOULEVARD DE BONNE NOUVELLE;;VL;A;;;;;Cond;Indem;A;Piéto;BH;A;;;;;;
2013-11-08;01:00;75;102;BOULEVARD SAINT DENIS;;;BOULEVARD SAINT DENIS;;VL;A;Scoo>125;B;;;Cond;Indem;A;Cond;BL;B;Pass;BL;B;;;
2013-09-20;16:30;75;102;139, BOULEVARD DE SEBAST;;;BOULEVARD DE SEBASTOPOL;;Scoo<=50;Z;;;;;Piéto;BL;Z;;;;;;;;;
2012-03-30;18:50;75;102;242, RUE SAINT DENIS;;;RUE SAINT DENIS;;VL;A;;;;;Cond;Indem;A;Piéto;BL;A;;;;;;
2012-11-17;18:35;75;103;58, BOULEVARD DE SEBASTO;1_75103_7173;;BOULEVARD DE SEBASTOPOL;RUE AUX OURS;VU;A;;;;;Cond;Indem;A;Piéto;BH;A;;;;;;
2013-08-09;05:40;75;103;BOULEVARD DE SEBASTOPOL;1_75103_7173;;BOULEVARD DE SEBASTOPOL;RUE AUX OURS;VL;A;VL;B;;;Cond;Indem;A;Pass;BL;A;Pass;BH;A;Pass;BL;A
2012-10-19;16:30;75;103;BOULEVARD DE SEBASTOPOL;1_75103_7242;;BOULEVARD DE SEBASTOPOL;RUE DE TURBIGO;Moto>125;A;VL;B;;;Cond;BL;A;Cond;Indem;B;;;;;;
2013-12-08;09:00;75;103;70, BOULEVARD DE SEBASTO;1_75103_7242;;BOULEVARD DE SEBASTOPOL;RUE DE TURBIGO;Bicy;A;VU;B;;;Cond;BL;A;Cond;Indem;B;;;;;;
2013-08-09;09:35;75;103;58, RUE RAMBUTEAU;1_75103_7264;;RUE RAMBUTEAU;RUE SAINT MARTIN;VL;A;;;;;Piéto;BL;A;Cond;Indem;A;;;;;;
2012-03-20;23:00;75;103;157, RUE SAINT MARTIN;1_75103_7286;;RUE SAINT MARTIN;PASSAGE MOLIERE;Bicy;A;;;;;Cond;BL;A;Piéto;BL;A;;;;;;
2012-02-03;23:10;75;103;90, BOULEVARD DE SEBASTO;1_75103_7356;;BOULEVARD DE SEBASTOPOL;RUE REAUMUR;Scoo50-125;A;VL;B;;;Cond;BL;A;Cond;Indem;B;;;;;;
2013-09-04;11:20;75;103;45, RUE DE TURBIGO;1_75103_7445;;RUE DE TURBIGO;RUE SAINT MARTIN;Scoo50-125;A;;;;;Cond;BL;A;;;;;;;;;
2013-04-06;14:30;75;103;38, RUE DE TURBIGO;1_75103_7445;;RUE DE TURBIGO;RUE SAINT MARTIN;Scoo<=50;A;;;;;Cond;BL;A;Pass;BL;A;Piéto;BH;A;;;
2012-03-13;20:50;75;103;254, RUE SAINT MARTIN;1_75103_7504;;RUE SAINT MARTIN;RUE REAUMUR;Bicy;A;VL;B;;;Cond;BL;A;Cond;Indem;B;;;;;;
2012-05-13;01:55;75;103;41, RUE REAUMUR;1_75103_7504;;RUE REAUMUR;RUE SAINT MARTIN;Scoo50-125;A;VL;B;;;Cond;BL;A;Cond;Indem;B;;;;;;
2013-03-25;06:30;75;103;141, BOULEVARD DE SEBAST;1_75103_7548;;BOULEVARD DE SEBASTOPOL;BOULEVARD SAINT DENIS;VL;A;Moto>125;B;;;Cond;Indem;A;Cond;BL;B;;;;;;
2013-08-23;17:40;75;103;339, RUE SAINT MARTIN;1_75103_7623;;RUE SAINT MARTIN;RUE NOTRE DAME DE NAZARETH;Cyclo;A;VL;B;;;Cond;BL;A;Pass;BL;A;Cond;Indem;B;;;
2012-11-15;14:35;75;103;01, RUE BLONDEL;1_75103_7645;;RUE BLONDEL;RUE SAINT MARTIN;VL;A;;;;;Piéto;BL;A;Cond;Indem;A;;;;;;
2012-04-08;17:30;75;103;359, RUE SAINT MARTIN;1_75103_7687;;RUE SAINT MARTIN;BOULEVARD SAINT MARTIN;VU;A;;;;;Cond;Indem;A;Piéto;BL;A;;;;;;
2012-02-05;08:45;75;103;50, RUE DE TURBIGO;1_75103_7776;;RUE DE TURBIGO;RUE REAUMUR;Scoo50-125;A;VU;B;;;Cond;Indem;B;Cond;BL;A;;;;;;
2013-02-09;14:05;75;103;57, RUE DE TURBIGO;1_75103_7822;;RUE DE TURBIGO;RUE MONTGOLFIER;Cyclo;Z;;;;;Piéto;BL;Z;;;;;;;;;
2013-07-02;08:50;75;103;42, RUE REAUMUR;1_75103_7846;;RUE REAUMUR;RUE VOLTA;VL;A;Scoo50-125;B;;;Cond;Indem;A;Cond;BL;B;;;;;;
2013-12-16;19:45;75;103;106, RUE DU TEMPLE;1_75103_7893;;RUE DU TEMPLE;RUE CHAPON;Bicy;A;;;;;Cond;BL;A;;;;;;;;;
2013-06-13;14:50;75;103;55, RUE DE BRETAGNE;1_75103_8183;;RUE DE BRETAGNE;RUE DES ARCHIVES;VL;A;;;;;Cond;Indem;A;Piéto;BL;A;;;;;;
2013-01-04;17:55;75;103;2, RUE PAYENNE;1_75103_8247;;RUE PAYENNE;RUE DES FRANCS BOURGEOIS;VL;A;;;;;Cond;BL;A;;;;;;;;;
2013-01-09;16:45;75;103;89, RUE DE TURBIGO;1_75103_8251;;RUE DE TURBIGO;RUE DU TEMPLE;Scoo50-125;A;;;;;Cond;Indem;A;Piéto;BH;A;;;;;;
2012-10-25;01:00;75;103;44, RUE CHARLOT;1_75103_8318;;RUE CHARLOT;RUE DE BRETAGNE;Scoo50-125;A;;;;;Cond;BL;A;;;;;;;;;
2013-09-17;17:30;75;103;207, RUE DU TEMPLE;1_75103_8362;;RUE DU TEMPLE;RUE MESLAY;VL;A;Scoo50-125;B;;;Cond;Indem;A;Cond;BL;B;;;;;;
2012-04-28;13:35;75;103;24, RUE DE TURENNE;1_75103_8474;;RUE DE TURENNE;RUE DES FRANCS BOURGEOIS;Bus;A;;;;;Cond;Indem;A;Pass;BL;A;Piéto;BH;A;;;
2013-04-12;10:30;75;103;1, RUE DU PARC ROYAL;1_75103_8490;;RUE DU PARC ROYAL;RUE DE TURENNE;Scoo50-125;A;;;;;Cond;Indem;A;Piéto;BL;A;;;;;;
2013-09-09;20:00;75;103;83, RUE DE TURENNE;1_75103_8500;;RUE DE TURENNE;RUE SAINT CLAUDE;Cyclo;A;VL;B;;;Cond;BL;A;Cond;Indem;B;;;;;;
2012-09-07;14:00;75;103;3, PLACE DE LA REPUBLIQU;1_75103_8512;;PLACE DE LA REPUBLIQUE;PASSAGE VENDOME;VL;A;Bus;B;;;Cond;BL;A;Cond;Indem;B;;;;;;
2012-02-11;10:00;75;103;8, RUE SAINT CLAUDE;1_75103_8636;;RUE SAINT CLAUDE;RUE DES ARQUEBUSIERS;Cyclo;A;;;;;Cond;BL;A;;;;;;;;;
2012-08-24;00:01;75;103;17, BOULEVARD DES FILLES;1_75103_8671;;BOULEVARD DES FILLES DU CALVAIRE;RUE COMMINES;VL;A;;;;;Cond;Indem;A;Piéto;BL;A;;;;;;
2012-01-15;18:00;75;103;91, BOULEVARD BEAUMARCHA;1_75103_8732;;BOULEVARD BEAUMARCHAIS;RUE DES ARQUEBUSIERS;Cyclo;A;;;;;Cond;Indem;A;Piéto;BL;A;;;;;;
